reviewId,content,score
c4535d2a-593f-43f4-94eb-54acda06b071,Yah last time It didn't work now I reinstall and it won't let me install it..,1
1bbc347c-1494-4c6c-a24e-8f6e304d84fb,They need to patch this prompt always coming up to pin my chats.. It's soo infuriating and you can't turn it off.. If I could give 0 stars I would,1
feac2dfe-1dae-4207-9e91-aaaa30793e51,Great picture and auto,5
597041b5-4a2d-4984-81db-a6c70ac69480,"I hate this new end-to-end encryption update! 😠 My important conversation with my husband got archived and locked unexpectedly. I didn’t change devices, yet Messenger forced a new encrypted chat and closed the old one. Please add a feature to restore or access the original conversation easily like sending a recovery code to the linked email. This update is extremely frustrating! Privacy should protect our chats, not make them harder to access.",1
e7d08405-ae6d-49e5-90f5-34d67edb2639,good,5
b2673b81-84fe-49a5-a8e8-b0e6473fc9c6,good👍,5
5340b7ce-34cc-4b23-bff9-b9ec3f0baf00,"Picture good, voice great",5
112c5b88-f01a-4b95-9933-0a4120e890ab,My call had excellent sound and I was able to hear every word.,5
6f40f53e-09a5-4d2e-9e2a-e35e29feba27,Why can't people message me on this app that are in my groups? Now I can't message people that are on friends list? It's like suddenly messenger isn't social anymore. Comments in groups pending administrator approval but approval never comes!!!! Reported multiple times.. S25 ultra..,1
60d13e7c-9aa7-4360-8ec9-80146414563c,"BRING BACK OUR CONVERSATION, STOP ARCHIVING MESSAGES WITHOUT OUR KNOWLEDGE.",1
6420c5fc-13d4-46f6-a37f-aa1044ff2f5b,love it,5
80f7d85c-87f5-43dc-b5fa-f9215303b026,miss her,5
804bb8cd-fd73-48ca-9bbb-170b0ec25887,it a wonderful way to keep intouch with your friends and family,5
e0e736ed-ed61-4eb9-b30a-a25182bfe28a,do not use this app,1
7be8b0cf-8cd0-4e93-8c45-e5ad98374dcd,it's rilly it is Like metting in person with out the hassle of travel,5
762d696a-4a74-4f48-9617-84aeceb4e1d9,"Clear sound, no breaks in calls.",5
28b488a8-0411-4b64-a835-c4d22af02b87,Ravin tarole ♥️,1
3b3ca59e-3d96-4744-b2cb-300ec3b237df,good,4
6409f114-ab63-450a-8640-81f2451da4cc,removing old convos,1
d649893a-9636-4618-a2d6-db8c41fd5b3b,"we've been using messenger for a loooong time, and now it got updated, saying the security upgraded?! *** I just woke up and I'm so pissed off. tbh it was alll goood until this update 🤬 now I can't use the old convo chat I had with my husband, showing you can't chat here anymore, it's archived now etc. all our first convos are there, pics and everything!!!! now we're using this other convo the encrypted one, you're not whatsapp!!! BRING BACK OUR OLD CONVO BRING BACK THE OLD MESSENGER PLEASE.",1
c4c9a5a1-4864-4fab-b4c2-be741d58240f,Cannot open my messenger in my old phone samsung J7,5
ceb484e3-ba83-4391-887b-8292f526ec12,"It's awesome to FaceTime my Special Son, Solomon, while he is in the Hospital. Because I have to get the house ready for him and his wheelchair, I don't have the time to visit him! 😔",5
8b43928d-eae8-4001-bac9-7d6ad6fdd112,good,5
8f73221d-cb89-47b2-8996-c30af1a4ea75,Hacked my account. Meta AI did not respect my data privacy.,3
c60fdd98-4bcb-4d37-a66d-4e0372477297,thenhell why my message is deleted in the new update????,1
96b2a6c3-1668-45eb-bf0f-302ebf665f04,I love fb messenger,5
a171b52f-65bd-4bd3-9ced-ccf837f5e648,our messenger with my partner suddenly archive even though its already end to end but right now it was automatically archived and created a new chat,1
63d4d6a8-c929-4593-9599-80a866566bd8,very gud,5
ab42a73f-d0d8-4be8-bf21-9b84c9226e2d,nice,5
25b8e772-8b14-4e33-8a99-3c0092a3c239,outstanding app,5
a75865ce-321c-4fc1-93ad-9b1e70e226a9,Great,5
10834a3b-0cd4-49d3-a97e-d29c69f6cdab,good,5
e309d74c-9acc-476b-aac8-cc4a4da7bfac,"How to retrieve my old message that replaced by the end to end encrypted? Messenger did not have any option ro choose what message would I prefer? My old messages cannot be retrieved in the archive chat. There's no restore option either. Messenger just automatically choose it and doesn't consult the owner. It's so frustrating! Yes, I can acces it but I prefer thw old one so that you can easily backread the previous messages. Maybe you should provide solution to this!",1
274b07b2-801e-45ea-a9c0-a7d85d726c3c,this messenger is bad with this end to end your messages will disappear after many days,1
5eff4345-c516-43f0-bce8-07b12c94c429,good quality on my video chat,5
986a13b3-027d-4082-9b73-df5d3061ba2e,very good,5
9ade75cb-eb7a-47e6-91f1-11d36399670c,good,5
3b254c9f-dea8-4012-912d-9504bc1784ce,thanks you,5
4d578b97-87ea-43c9-9482-81821fc4f2a2,I had fun!!!,5
e70189b1-9729-482d-8416-e9a0b294c74d,"whenever an existing chat displays your end to end encryption message I have problems, either all previous conversation vanishes, or recipients are not seeing messages despite being delivered....seems to be an ongoing issue for others for some time now.......",1
694536d2-b9a2-4a10-82a1-cc43119b8950,good,5
ceb94565-d907-4cd4-b828-cd77c3197020,media and conversations are not loading properly. poor UI. everything takes time to reload.,1
51df02da-bf4b-4df4-9cdf-8639143694ba,can't load the app,2
c958792c-0bf7-48a6-bdc5-caffcfa66631,"I reported lots of bugs, and there is a bug with the chat bubble where video interface gets stuck on the phone, this bug has been there for almost 4 years on both my old and new phone and all of my friends android phones. update the issues still viable till now even after 3 years of writing this review",2
4480156e-fd16-4d3d-b8e8-e6272ff38ff8,Great Video with family ❤️❤️🌟🌟🌟🌟🌟,5
9c4af929-4b4c-4445-bcaa-4fea6dbd8f4d,awesome,5
a7756c7e-5bdf-47e7-9767-e7dac872235d,ok,5
490ed87b-53ad-45cc-9365-7121699c7e0d,maganda,5
48d1ba80-f18b-4ffe-933e-1a6d7e2ad942,the end-to-end encryption makes my conversations disappearing,1
158e77a6-77be-45c9-b98b-c74223d05db8,Hindi na ma unlock Yung convo Namin dahil sa end to end encrypted chat nayan !!!!!!,1
139274b7-5f1a-46c8-9fdf-ccb6878d8376,it is easy to communicate,5
06bf17b3-e800-4334-9756-3f37913051c6,"It irritates me when I open up a video in messenger, I watch it, then when I try to back out of it into the chat the video came from, it kicks me out to either the chat log or out of the app entirely. I wish it was more like tiktok",2
5963dbe9-6ab0-4ff9-8920-8271f70bc55c,Ang tgal ang hirap MG download,1
df665c36-78d9-40be-b550-835c5c5a402a,It helps me communicate with my family and friends if I'm far from them,5
574b90fa-114d-478a-ac7e-e5ecdc283f26,Cant send photos,2
f7b79ca6-aa89-43cd-8f77-7529b3cb2e28,"Because of the Messenger update, my conversation with my loved ones got stuck in the archive, even though we were chatting last night. When I opened Messenger, it was already in the archive. It says that Messenger upgraded its security and this chat is no longer active. I don’t like losing memories, so I really don’t like this. How can I recover it?",1
64281267-741c-4c1f-9e0f-9806b62552a4,Love it,5
80e079cc-dfe2-438c-9b25-7c2119dbef26,messenger is awesome 👌🏾 👏🏾 👍🏾,5
c955cef7-5d62-4c30-8026-53597e6777d5,It always keep me logging out even though using wifi. I can't send pictures,1
6ae2478c-61fc-4ab3-94f0-35c1bf6ea6fe,very good,5
8b44f059-d992-43ae-8494-e1e0859f988e,Good,5
0abf678d-05c4-4c92-b805-c0f1adb877aa,l like this app 🔥,5
f6054f74-446e-4374-836b-43f73bc87a45,Annoying end to end update,1
50329744-0926-4770-a60a-ba8e84d03bc1,Nice app,4
2d9e2518-fe65-415e-9a5f-cdea329960ab,make it more better than what is now,4
cbc91af5-9950-47ff-8cc1-7e2e747f3d29,very good,5
5db69af2-e7e1-43af-a9dd-6aa83f797d84,yes better relationship,5
c30d866c-58f1-4e43-bccd-7e6ca2ed3aed,the app is cool mm,5
9a111ca3-aa58-41e9-8219-0637f55d3c52,Good,5
9bca2619-9745-454a-8936-91c2c3e81a5d,thumbs 👍,5
2e8976bb-c939-402a-a90b-a72beb6a153f,little confused actually,5
6ab69837-4f42-45c4-a191-ae18f98b801e,very satisfied,5
3ed81310-807b-491c-a81b-4511ecf82281,Mark made a call and it was sound and could hear everything 😄,5
1f3f2eb1-2a59-4231-ac0c-bc2a4e406219,Me And My Brother The Youngest One Had A Good One.,5
ce8edfa3-d66e-4735-840a-3ad5a2cae057,"You can't delete messages or files accidentally sent on the app? but you can on the web version? When selecting a file to attach or send, once selected it just automatically sends?? unacceptable.",1
5f475380-163f-406a-ac01-cb049bdc5b8b,"really don't think I need notified about the same message 15 times all through out the day, especially as I was chatting to someone in real time and read the messages as they were received...",1
e3af58c4-b254-4499-9558-33600c2f324c,Good,4
5974ccf1-c8c0-4b72-9f19-b2b1849f7206,she's there.,5
94159068-2428-4ed4-b2de-8f195dee1f48,Stop forcing AI down our throats. I don't need it to help write a message to my mother.,1
4fcac420-8c59-4e21-8c57-acf4ffad4103,So easy to communicate,5
c752e461-21c3-48d7-97ec-cc8c2f428d8c,Awesome sermon,5
45bc4a1a-3857-4b65-abc8-0efaa0ef7510,automatically archives chat that is frequently used,1
3e25695f-bf18-4a32-bce5-86d451711ef3,I cant instal why,5
b4bfc87b-2adc-4912-97f7-cf10b7cad31e,everything check out and we all good,5
b64cdaea-342f-4782-93e1-0efc60ba3a98,fantastic,5
51e7f4c5-015a-426c-8be6-a3b5229c95e2,"It is not too bad, but I tried joining a call telling me to update which i did a month ago",2
6dfcd440-0ef5-4bbe-9254-1f4f8198d6a1,Superb messaging and connecting app,5
3b2b41f5-f80d-4a00-9931-1e29517bc8bb,"This is only the third time i've ever used this messenger phone call, It was nice and clear It worked out.\nGreat",5
5c65aff2-49b0-45aa-993d-933a27318e3e,"This has been the best vision of Facebook messenger , I can't tell the difference between this all and whatspp messenger when it come to voice calls, it has really helped me and will give it the best review ever, 5,stars rated",5
370f702d-90dc-4a5e-bc70-4a93429eac22,exceptional experience,5
e519c2b6-4f9d-4473-9f9a-40056b59a265,it's was amazing Is best apps,5
83f7b324-65cf-4b43-8e1c-621e8c334c5c,good,5
ec3afb67-a978-49ef-9aae-c5ed2624ce8c,I don't know how to use it,5
24b72b1c-f77a-4f4b-b030-58dac63f34c2,Good,5
859ad9b0-8c19-46df-901c-0d8142ca5f51,"a lot of issues like ""this chat is no longer active""",1
5fc53de3-ccd1-44b7-bd85-49075d460422,I thought it was a place to sell tacos what a disappointment 😞,1
