reviewId,content,score
dbcc8036-9661-486d-b2c2-0b7d95fac90c,dont get this app.,1
8252acd8-370c-4cd2-99c9-6fe900aec6de,beautiful,5
3452ee0d-b676-4210-91d9-04a0eee75896,"the best way you can text, call and have pictures on. Snapchat I have had it for a few years now I could not ask for an better app",5
61275ef9-7106-450f-9dc1-f9cd2a0ddc3d,mast h,5
d14d786c-bd3e-4874-9b2c-19e41e296d17,it is the best app to text your friend and family,5
341eb18e-f000-410e-831d-07f54441bd78,I love this Snapchat app,5
5919db3c-157b-4c34-a3f4-750e8363e3c2,I hate how it has a purple circle on story's like a friend posted something but its just a stupid Snapchat short,1
b76f8db2-3f3f-4e79-b314-96b4302330bb,ok nice 👍,5
d46ebe40-642c-4849-99ec-7b904fdbad53,Why do I have to close your ads 3 times before they go away? None of the other ads do that.,1
e2a1516d-cf7e-454e-9751-0b9eb07ba755,"i reported an 18 year old OF model that was selling nudes from 2 years ago as someone selling child porn and Snapchat said that wasn't a problem at all for them. I've also blocked 1 account over 50 times and that person is STILL all over my discover feed. now when i go to block them, it just says 'an error occurred'. but snapchat won't do anything about it because allowing the sale of CP brings them ad revenue!",1
6b63dbbc-249e-49b7-a7ff-4fab2826ad7e,fun,5
568239bb-12d3-40fa-b2f5-7d7440a75489,It's amazing,5
fcd8e85c-4c5b-489f-85c0-7104bd3911c8,"GET RID OF THE DISCOVER PAGE. Forcing me to watch ""team snapchat"" snaps is ridiculous. I blocked them months ago, but recently they removed the ability to block them and force you to receive their nonsense",1
780608c4-2d42-40ff-bce5-dd39a946d886,"good app Besides one problem, it won't record video sound, it will on voice recordings and calls but not on videos restarted my phone made sure app was to the highest version uninstalled and re installed and still won't work.",1
dabdd443-1ed5-4cda-96b9-10177dd9bf95,Camera acts bizarrely on tablet. need it fixed asap.,1
899b270f-4e17-401c-bf97-fe14cdcc41b6,I think that everyone should try out sanpchat I love that I can facetime my friends and more I love that I can edit my avatar and user name and I can change the background color with my avatar there are so many things to do come and check it out sanpchat is a good place to have fun with friends and family,5
054c6f14-5130-4740-86ba-28ceac6d91db,Bravo 👏,5
eaf15387-e4e6-4cc1-8353-e4831e8d27dd,mere ko to acha lga,5
c506dcc6-53aa-46f0-88fb-058940e9f242,This app can be really useful because if your friends don't have a phone number but have Snapchat you can easily add them and start to text and call them,5
35165524-da34-4bde-99a8-1e43bbe30f0e,nice 👍,5
774d69d0-4032-4e45-b812-21ac42cb956f,application is not working in my phone,1
8af778c6-98bd-4c5e-b5a7-3b7c64452747,i love it i can even call people!,5
cec0ab69-0a36-4c3d-a3c8-5330f067bc4c,good app,5
ed89c920-d077-4ddf-9e63-602efc659403,I Love it so much,3
2b44a734-bc61-4bc7-84bf-db0a95c10b1c,The app is running extremely slow and lags all the time! It's so annoying also automatically adding music to my snaps is annoying too. I also can not see all of my favorite lens because some of the filters don't load.,1
9950acde-accc-43dd-a1c1-4de157a50e66,"So much fun! The filters are fantastic, and it's the most casual way to share quick updates with friend👌👌👌👌",5
cf9d8a3a-4a70-4166-acdb-2ab975802048,Hy dear team snapchat my snap account some issues ican follow your trams and condition please solve this account problem I can't mistake again. I will very helpful to you Thankyou ❤️,5
ae9ab9f5-7235-4319-9e93-d182148bc18f,I'm uninstalling. Your ads on other apps are extremely obnoxious. I don't have two minutes to waste every time I click a button. It's not having the desired effect.,1
59681689-6560-44fc-8eea-b871c268b4bf,it's an app with dumb user support which permanently lock accounts of innocent people while the other accounts post vulgar content everyday.,1
aa2b7741-8ada-47b5-8618-e7d5f1fdca02,no wide angle for android disappointed,2
32f03520-3b3c-463d-bae9-99d5b880fce4,fire app for teens 11-15,5
35e1f8ac-ba38-4241-88bd-96b127ffc264,it's so good I can chat with friends and Doomscroll it's a really good app for texting😌,5
106ef190-981f-4c9f-b0f0-af04f7833c82,this is amazing app but snap seen unseen not show please add this feature please,4
9435ea4f-684b-4b82-94d6-e7d01f73b875,The new update which says to pay for your memories which exceed 5GB is just a foolish thing. Also the memories will be deleted after somethime....this is insane fr,1
be0b0466-f87c-422a-a950-e07a2505ad64,Snapchat,2
d3ef3f99-dccb-4258-bb7b-fb15f0b2d008,nice good 👍,5
d9d0f65c-1828-48ac-bb33-a8cb4a5785b0,it is the best I can text my friend,5
d7264a84-d504-4cf0-8131-ba005ec2d3a2,It's very good in all time,5
e2a82077-6203-4a65-8e2f-fec57d691a12,i love this app best app ever snapchat 🫰🏻🤍,5
7c583ec0-4446-4670-9167-6b22f33de72f,average hi hai jani,5
17de33bb-600f-460a-9a26-eec9e83bb947,loving,5
c690312e-6caf-4714-843a-07bc670e9628,ممتاز,5
38415bd0-1870-4826-8af7-c83df6150967,Good app to engage with people and also makes u look good,4
f707a686-e19e-416a-b117-d1bf04405a21,it shows scary videos I don't like to watch,3
7375df9e-0c17-496a-8e48-06b63ed51dc8,good,5
997b6463-72f1-4962-9f62-fd6c4953a00b,it's okay ohh but most times when I share snaps it doesn't go immediately even if I have data and when I want to exit the app it does remove I don't know why and hope you can help me,3
8778cbba-a3ff-406f-8ea7-804d44c71d48,Cute 😯,3
ff52c1d0-0036-4845-93f3-cc585103f762,absolutely one of the most interesting places I can go to meet new amazing people. however they are a little strict on the sexual content which their version of sexual in mind is a very different,4
3e71690e-96b1-4853-b6d0-4dfa174ce196,remove the advertisements from the chat feed you greedy dogs!,1
83fb0876-0d54-4a46-914e-7e18d196a7da,I love snapchat Especially all the silly faces,5
