reviewId,content,score
27c95ed2-57c5-4849-abe8-18be5a9b6d71,It's really great 💯,5
e226d474-b616-4781-9403-50b350d04d3e,I really like this app,5
ca15750d-e085-4554-ba94-ce7d8dcd9c32,most viral video 1M views on tiktok and famous and popular man,5
47bb6118-dcac-4a02-8c9c-e40fe96c345e,Dear tik tok plzz unfreeze my account views problm,5
5c00a5a2-f6e5-43a1-9467-1d4e4005af92,consi 1000k,5
653d7d52-4a21-46eb-bddc-0c8a338a81ec,very good and talented person do it for us,4
6507cede-7f4a-4ea3-b0eb-f88a30531dea,"ONE Star,, Literally No Explanation Needed Tiktok Has Been Turned Into Consumerism Garbage It Purposely Will Glitch Or Randomly Slow Down Whenever It Cant Get You Addicted To Tiktok Either That Or Tiktok Has Shoved So Many Ads On My Fyp To The Point Where It's Generally Unusable",1
727687dc-fba2-428a-aab3-769e9ea86262,good,5
14b06896-ec3c-419d-97f1-0aacd9e0f05c,"I love TiK ToK like am addicted to TikTok Mosley live streaming, posting and work with an artist to get my payment rewards 🎉🎉🎊🎉 if you don't have TiK ToK you're missing out on becoming a star and billionaire, TikTok rewards all users I love TikTok/FYP",5
a873c30a-a517-469f-914d-31d26dd221b9,please TikTok time 10k followers complete 🙃,5
449442af-1830-4c1c-9a8d-799ca092edeb,"I'm only giving it 4 stars because every time I like or repost a video, or click on the comments, the video stutters for a second.",4
eed58bde-22c2-4458-9c2c-77085a3022ba,it is very very fun to watch,5
5d19a007-0bfe-4005-989c-86f2d8b4ecbf,love it,5
8b1937bd-0deb-4ddc-8adc-894d4b84b336,it's draining my battery and heating up my device. please fix it. it consumes cpu and battery,2
d98bc8c2-44ce-41c9-92b9-3ce658e35005,it's not worth it it's not working very slow videos aren't playing it's waste of time,1
d3e061e5-2675-41c3-8c45-e4775c0f1491,please show me live,5
c74445fd-c577-49cc-b0e3-5c5c827d37f9,it's ok,4
3e4d5c31-27f1-4422-a37d-73241efec6d5,"no words necessary, tiktok is the best.",5
fdfb3022-b4cf-4372-88bb-2c97f1f28687,"I hate this stupid app that lags my phone everytime I just try to open it. I also hate how I need to download it whenever I'm sent a video from here, it's just not practical",1
1354accb-568b-4a13-b26c-b714fe254069,TikTok team please my account unfreez no view no like no comment,5
b8ae16e8-2e78-40ff-85b6-fe7425e65dd2,I would like to block this app in playstore as it spams more than any app.,1
6d0428e8-7877-44fd-b80f-af7f5c0bcd45,mehh,3
697718bf-8c94-46f0-9628-a0487f19f1c5,Great app,5
afde3f87-c51f-4bb4-9bd3-8fdb98eeda61,nice 👍🏻🙂,5
520f0daf-c66e-4476-a674-27fdd9069fa2,I love tiktok from nepal timropriy232,5
791dba0e-3d8e-4aec-a088-81e8659bf88c,False advertisement from Tik Tok. Advertisement for 99 cents ipads when there are NONE!,1
1050e340-badb-44ad-9c1e-1cf56cef4875,👍 👌great,5
b1072d72-eb45-48e4-aa15-7f62996ef64e,Love,5
25b5bc6b-769e-40eb-a3ac-8580493f7fc8,im having trouble verifying my email for the past week! I believe its a technical issue and I have no idea how to fix it. ive tried everything I could think of!!!,4
35e1de84-e00e-40de-9f3a-1a717f5cbbd9,l love doom scolling,5
bbaeaf4d-67b5-4417-a618-e6ed38993f0d,Worst app ... Lose all editing i have done worst worst !!!!!!!!!!,1
89b19c43-f927-43a9-b7e9-c3b1fa318743,it makes me feel good and happy 🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗,5
5815c4f4-9930-4e6d-a23b-e27897a61ca9,i mean is there any thing to say it's tiktok,5
3422f3c4-a138-4748-95e4-8b1b9781a664,super laggy vro,1
f23fb46b-f9eb-4031-b6b5-979273b9ee93,This app is very helpful the people and I highly recommend you easy to use and every thing is perfect here you will find this is right app for your time.,5
681b8a8a-a60a-4932-92fd-f30bf5ab929e,spiffy pictures and sesame workshop,5
693ae942-7fc0-443f-841c-66d58d69c57e,awesome,5
e400bbbb-a02e-4335-b858-bca3707ff375,سپاس گذارم واقعین برنامه یی خوبی هست ولی انترنت را یکم بیشتر مصرف میکند,5
7f8faa37-0cbd-4ad9-80d5-0a3fb2144a34,stop with the updates its just ragebaiting everyone,1
216cb629-3c69-4e79-9951-e1bed8b7d700,doesn't connect to power beats 2. you need to erase the earbuds and re add them every single time of you want to edit the settings inside the app,1
ef198ec3-02a9-4030-b1cd-4c50ea708b76,good,5
e7cb0c1e-9933-4e55-8896-ee398dd37cde,"I LOVE TIKTOK, BUT I ALWAYS GET BANNED SO I RATE IT 4.5/10 STARS",4
f4db4094-3e74-47a9-8880-8c1a3cc676a4,great app,5
d51d51e9-ee65-427f-b32c-2050ddacbe45,nice,5
d1f38d75-cb8b-491e-bac3-eb405c8e8d51,Wow,2
f6d1f6e2-ff6e-4dd7-9d4a-1fa0b119c831,Still the best app!,5
ac57bcde-7a67-4a5e-9b0f-02fca97c4179,gooder than ever,5
c7ed610f-3c79-4f07-8868-41af4524f22c,yes yes,5
539b81ea-a84d-4a6e-bf4a-9b360d13ad8b,"tiktok is is a very good app.. anytime I open my tiktok on my phone. my phone always hanging.. play music in caption for my screen im confused 😕🤔🤔.. before the app open taking 15 to 20minutes playing music on the screen without showing nothing to me,,pls work on it ok...I abeg",5
d64028fc-bd92-4307-b8ec-7a10ed8e07aa,tiktok ip banned and blacklisted my account because of an Argument I had with someone in the comments and I guess they decided to report me?? I can't even make another account. This is so stupid,1
2f12b05a-a10b-4e52-8ff8-0641d40f107b,"I don't want to see live videos. i tried clicking on not interested on any live videos, they keep coming, scrolling fast when i see one, they still keep coming. this week the app literally asked me if i was interested in live videos, i said no. and they still keep coming. please make on option where we can say if we want live videos or not. plus lives videos on my fp arent about the sames topics the tiktoks i see.",1
e21d86ef-3b7d-4edf-8757-19c4b92f5dfd,Love ❤️,5
168aa416-5bcb-4e2a-8b4f-9c15d3153103,tiktok sponser ads are getting scams and the amount of repeat buys on vevor and other products has caused me to look else where tiktok sucks now its gone down the drain scew this app,1
777fd942-645f-43b2-9336-33a98ae94764,So amazing,5
5b14dfb5-302e-4fba-a39f-f73fcaea5479,it's hanging....it ain't working,1
2d0f68b2-b4f7-429e-bf3f-1f9344427158,make the camra work for android,1
be0fcfb2-1feb-48c7-8f45-35dc1d35534c,What is going on with this app?!?! I've been using this app for years and now today it is saying my account doesn't exist. This foolishness is rid I cu lo us!!,1
c647cb7e-78e2-4e44-979a-d55e1974d8fd,good,5
