reviewId,content,score
3a25cdb9-e9f5-4003-b8d4-c93cfb5637ca,that is good app for taking and chating🙂 I was so satisfied 🤩with this app thanks WhatsApp for my daily use.,5
3465377c-0088-4000-bfc0-e3ac4f8a7aee,how do I get my 307 to collect money .,2
77b9b19b-26fe-44e3-aab5-522e4235f3c8,👌 OK cool,3
b77f17f2-8bf7-4278-be98-2d31441d2555,Fantastic efficiency,5
75b29354-80dd-4912-8184-623bd18c824a,GOOD,5
752219a0-d1ba-4b6b-b2c6-cd5b3426cc8e,👌okay,5
ab146d33-0c28-4780-8fd4-5fae72ec1a1d,lam very happy to use what's app because we can talk to our friends lt is a mind blowing soviol media there are so many crazy features in this app so it is a wonder ful app. every body uses it because we can create friend ship bonding while using it .,5
40437aa2-7b9e-442a-9435-47ac2074322f,👌,5
5d619456-8df5-46ce-ba7f-eb7538d950c8,video calls: feed glitches out and distorts. all calls: audio cuts off frequently. weak call strength constantly. images missing from gallery or not uploading properly. not sure what happened in the last few updates but this app has gone down hill.,1
8baa0584-a8b6-4c20-a77e-f55c74f0805d,good,5
82fb4a6c-f90d-41bd-9fa6-af55b4513e0b,very good,5
7fba729d-d3dd-4b7c-b91a-07a3e3f6d828,best app,5
0e516773-631e-4907-aa28-e502e011bfae,👌🙏,5
ea35c257-c909-4a0c-8eea-556708c115ea,exelente,5
31253aab-db4c-4423-a429-8c6f0f7536b2,i cant believe till now I am struggling with my chats getting cleared without my consent ...the app cost me alot of valuable chat ...it's so annoying y'all should just fix this ...I would have given a half star if there was....why is whatsapp that weak after coutless updates?...and it's still malfuction(by clearing chats on its own)😤😤😤😤😠😠😠,1
bc4fbc0a-4d3e-4e6b-863d-23986de75b52,love it,5
51fc5122-18bd-45bf-8fd6-2ca8ceec53c0,most pletfrom,5
4270631a-2f10-48a1-ad33-2a5c698e106d,It is good but ajust,5
2ff4ffc4-19ca-45db-ac7b-260f5ecedb30,The previous last scene was much better than the current one on WhatsApp... I like everything else... Just look at this one thing... Your application is very good... 👍🏻👍🏻👍🏻👍🏻👍🏻🙏🏻🙏🏻🙏🏻🙏🏻,2
16a43932-be9a-43ac-ab7f-108d88fdeccc,Is good,3
1229c615-ede2-41ba-a3c0-5830aea74d50,very good,5
00e6b8ec-326c-4ae4-94bc-4b4afd0dbd58,Bad,5
5b42b1ce-c5de-4e8e-b75a-84bd36104eb0,good job,5
f0326745-f026-426d-b754-5cbd0bfa1863,English,5
63333df0-0a59-49f5-a9b8-18b308b62f70,Worst app for scammers there is!,1
7c088212-ef1d-4936-adc4-36d8034c65c9,nice app,5
8575ebda-d689-40ef-83a4-0b3a5f609128,irfan baioch,5
049b8b50-b9eb-4d9f-ba07-0fa105356d85,الريبوست مش ظاهر عندي وانا مديقه جداً ارجو التحديق,1
6e44484c-08a6-469e-ba11-937c105e7bd8,very good,5
9e064475-7e62-4e62-b315-8fba28c5c98b,Working,5
aa54cc3f-a34d-40e9-83c7-a6cd673a9d73,I would rather not sync my contacts to transfer or forward images. I never had to do so in the past. I'm not doing it now even though you're trying to force it. this is also why users stay away from updates aside from the intrusive permissions.,2
d08560d5-3df4-469b-b5db-d3efe32756ec,👍👍,5
cd97b2ad-7f51-4da2-ab75-4bc520da0463,very bad,1
392f3ebd-2dea-4b3c-8ab1-a314d3e44a4d,👍👍👍,5
0b0dfada-3b9d-42fa-a2db-d0e4505175a4,Amir Amiun,4
3220e1a5-10e0-4571-a91e-949bf97c68f1,wonderful.... easily can access anyone,5
