app_name,rating,rank,bigram,count
Candy%20Crush%20Saga,,1,strategy core,100
Candy%20Crush%20Saga,,2,great like,100
Candy%20Crush%20Saga,,3,pay win,100
Candy%20Crush%20Saga,,4,alrdy dk,100
Candy%20Crush%20Saga,,5,game new,100
Candy%20Crush%20Saga,,6,add another,100
Candy%20Crush%20Saga,,7,hit continue,100
Candy%20Crush%20Saga,,8,look great,100
Candy%20Crush%20Saga,,9,game fairness,100
Candy%20Crush%20Saga,,10,unfair punishes,100
Candy%20Crush%20Saga,1.0,1,next level,3100
Candy%20Crush%20Saga,1.0,2,every level,2000
Candy%20Crush%20Saga,1.0,3,gold bars,1900
Candy%20Crush%20Saga,1.0,4,level game,1600
Candy%20Crush%20Saga,1.0,5,playing game,1500
Candy%20Crush%20Saga,1.0,6,worst game,1400
Candy%20Crush%20Saga,1.0,7,complete level,1300
Candy%20Crush%20Saga,1.0,8,spend money,1200
Candy%20Crush%20Saga,1.0,9,pass levels,1200
Candy%20Crush%20Saga,1.0,10,game ever,1100
Candy%20Crush%20Saga,2.0,1,next level,1400
Candy%20Crush%20Saga,2.0,2,gold bars,1000
Candy%20Crush%20Saga,2.0,3,nice game,700
Candy%20Crush%20Saga,2.0,4,good game,500
Candy%20Crush%20Saga,2.0,5,playing game,500
Candy%20Crush%20Saga,2.0,6,level game,400
Candy%20Crush%20Saga,2.0,7,continue playing,400
Candy%20Crush%20Saga,2.0,8,love game,400
Candy%20Crush%20Saga,2.0,9,level without,400
Candy%20Crush%20Saga,2.0,10,restart game,400
Candy%20Crush%20Saga,3.0,1,good game,2200
Candy%20Crush%20Saga,3.0,2,nice game,1800
Candy%20Crush%20Saga,3.0,3,next level,700
Candy%20Crush%20Saga,3.0,4,love game,700
Candy%20Crush%20Saga,3.0,5,playing game,600
Candy%20Crush%20Saga,3.0,6,pass level,500
Candy%20Crush%20Saga,3.0,7,like game,500
Candy%20Crush%20Saga,3.0,8,pop ups,500
Candy%20Crush%20Saga,3.0,9,game ever,400
Candy%20Crush%20Saga,3.0,10,extra moves,400
Candy%20Crush%20Saga,4.0,1,good game,6400
Candy%20Crush%20Saga,4.0,2,nice game,5300
Candy%20Crush%20Saga,4.0,3,fun game,1900
Candy%20Crush%20Saga,4.0,4,great game,1800
Candy%20Crush%20Saga,4.0,5,best game,1800
Candy%20Crush%20Saga,4.0,6,playing game,1700
Candy%20Crush%20Saga,4.0,7,love game,1600
Candy%20Crush%20Saga,4.0,8,like game,1100
Candy%20Crush%20Saga,4.0,9,next level,800
Candy%20Crush%20Saga,4.0,10,game good,700
Candy%20Crush%20Saga,5.0,1,good game,47600
Candy%20Crush%20Saga,5.0,2,nice game,39300
Candy%20Crush%20Saga,5.0,3,love game,26900
Candy%20Crush%20Saga,5.0,4,best game,26900
Candy%20Crush%20Saga,5.0,5,great game,15800
Candy%20Crush%20Saga,5.0,6,game ever,10500
Candy%20Crush%20Saga,5.0,7,fun game,10000
Candy%20Crush%20Saga,5.0,8,amazing game,6900
Candy%20Crush%20Saga,5.0,9,like game,6000
Candy%20Crush%20Saga,5.0,10,game fun,5500
Dropbox,,1,ve moved,700
Dropbox,,2,moved around,700
Dropbox,,3,free trial,600
Dropbox,,4,offline files,400
Dropbox,,5,doesn work,400
Dropbox,,6,around ve,400
Dropbox,,7,waiting upload,300
Dropbox,,8,access files,300
Dropbox,,9,easy access,300
Dropbox,,10,invite friends,200
Dropbox,1.0,1,free trial,10400
Dropbox,1.0,2,cancel subscription,10400
Dropbox,1.0,3,doesn work,5600
Dropbox,1.0,4,customer service,5600
Dropbox,1.0,5,won let,4600
Dropbox,1.0,6,gb free,3300
Dropbox,1.0,7,impossible cancel,3200
Dropbox,1.0,8,cloud storage,2900
Dropbox,1.0,9,cancel free,2600
Dropbox,1.0,10,free storage,2300
Dropbox,2.0,1,doesn work,900
Dropbox,2.0,2,cloud storage,800
Dropbox,2.0,3,gb free,800
Dropbox,2.0,4,free trial,700
Dropbox,2.0,5,free storage,700
Dropbox,2.0,6,storage space,600
Dropbox,2.0,7,doesn show,500
